Move Name,Power,Accuracy,type,move_description
covet,60,100,1,"Inflicts regular damage.  If the target is holding an item and the user is not, the user will permanently take the item.  Damage is still inflicted if an item cannot be taken.

Pok�mon with sticky hold or multitype are immune to the item theft effect.

The target cannot recover its item with recycle.

This move cannot be selected by assist or metronome."
volt-tackle,120,100,13,Inflicts regular damage.  User takes 1/3 the damage it inflicts in recoil.  Has a 10% chance to paralyze the target.
magical-leaf,60,,12,Inflicts regular damage.  Ignores accuracy and evasion modifiers.
water-sport,,,11,"fire moves inflict half damage, regardless of target.  If the user leaves the field, this effect ends."
calm-mind,,,14,Raises the user's Special Attack and Special Defense by one stage each.
leaf-blade,90,100,12,Inflicts regular damage.  User's critical hit rate is one level higher when using this move.
dragon-dance,,,16,Raises the user's Attack and Speed by one stage each.
rock-blast,25,90,6,"Inflicts regular damage.  Hits 2�5 times in one turn.

Has a 3/8 chance each to hit 2 or 3 times, and a 1/8 chance each to hit 4 or 5 times.  Averages to 3 hits per use."
shock-wave,60,,13,Inflicts regular damage.  Ignores accuracy and evasion modifiers.
water-pulse,60,100,11,Inflicts regular damage.  Has a 20% chance to confuse the target.
doom-desire,140,100,9,"Inflicts typeless regular damage at the end of the third turn, starting with this one.  This move cannot score a critical hit.  If the target switches out, its replacement will be hit instead.  Damage is calculated at the time this move is used; stat changes and switching out during the delay won't change the damage inflicted.  No move with this effect can be used against the same target again until after the end of the third turn.

This effect breaks through wonder guard.

If the target is protected by protect or detect on the turn this move is used, this move will fail.  However, the damage on the third turn will break through protection.

The damage is applied at the end of the turn, so it ignores endure and focus sash.

This move cannot be copied by mirror move."
psycho-boost,140,90,14,"Inflicts regular damage, then lowers the user's Special Attack by two stages."
roost,,,3,"Heals the user for half its max HP.  If the user is flying, its flying type is ignored until the end of this turn."
gravity,,,14,"For five turns (including this one), all immunities to ground moves are disabled.  For the duration of this effect, the evasion of every Pok�mon on the field is lowered by two stages.  Cancels the effects of bounce, fly, and sky drop.

Specifically, flying Pok�mon and those with levitate or that have used magnet rise are no longer immune to ground attacks, arena trap, spikes, or toxic spikes.

bounce, fly, sky drop, high jump kick, jump kick, and splash cannot be used while this move is in effect.

*Bug*: If this move is used during a double or triple battle while Pok�mon are under the effect of sky drop, Sky Drop's effect is not correctly canceled on its target, and it remains high in the air indefinitely.  As Sky Drop prevents the target from acting, the only way to subsequently remove it from the field is to faint it."
miracle-eye,,,14,Resets the target's evasion to normal and prevents any further boosting until the target leaves the field.  A dark Pok�mon under this effect takes normal damage from psychic moves.  This move itself ignores accuracy and evasion modifiers.
wake-up-slap,70,100,2,"Inflicts regular damage.  If the target is sleeping, this move has double power, and the target wakes up."
hammer-arm,100,90,2,"Inflicts regular damage, then lowers the user's Speed by one stage."
gyro-ball,,100,9,"Inflicts regular damage.  Power increases with the target's current Speed compared to the user, given by `1 + 25 * target Speed / user Speed`, capped at 150."
healing-wish,,,14,"User faints.  Its replacement's HP is fully restored, and any major status effect is removed.  If the replacement Pok�mon is immediately fainted by a switch-in effect, the next replacement is healed by this move instead."
brine,65,100,11,"Inflicts regular damage.  If the target has less than half its max HP remaining, this move has double power."
natural-gift,,100,1,"Inflicts regular damage.  Power and type are determined by the user's held berry.  The berry is consumed.  If the user is not holding a berry, this move will fail."
feint,30,100,1,"Inflicts regular damage.  Removes the effects of detect or protect from the target before hitting.

This move cannot be copied by mirror move, nor selected by assist or metronome."
pluck,60,100,3,"Inflicts regular damage.  If the target is holding a berry, this move has double power, and the user takes the berry and uses it immediately.

If the target is holding a jaboca berry or rowap berry, the berry is still removed, but has no effect.

If this move is super effective and the target is holding a berry that can reduce this move's damage, it will do so, and will not be stolen."
tailwind,,,3,"For the next three turns, all Pok�mon on the user's side of the field have their original Speed doubled.  This effect remains if the user leaves the field."
acupressure,,,1,"Raises one of the target's stats by two stages.  The raised stat is chosen at random from any stats that can be raised by two stages.  If no stat is eligible, this move will fail.

If the target has a substitute, this move will have no effect, even if the user is the target.

This move cannot be copied by mirror move."
metal-burst,,100,9,"Targets the last opposing Pok�mon to hit the user with a damaging move this turn.  Inflicts 1.5� the damage that move did to the user.  If there is no eligible target, this move will fail.  Type immunity applies, but other type effects are ignored."
u-turn,70,100,7,"Inflicts regular damage, then the user immediately switches out, and the trainer selects a replacement Pok�mon from the party.  If the target faints from this attack, the user's trainer selects the new Pok�mon to send out first.  If the user is the last Pok�mon in its party that can battle, it will not switch out.

The user may be hit by pursuit when it switches out, if it has been targeted and pursuit has not yet been used.

This move may be used even if the user is under the effect of ingrain.  ingrain's effect will end."
close-combat,120,100,2,"Inflicts regular damage, then lowers the user's Defense and Special Defense by one stage each."
payback,50,100,17,"Inflicts regular damage.  If the target uses a move or switches out this turn before this move is used, this move has double power."
assurance,60,100,17,"Inflicts regular damage.  If the target takes damage this turn for any reason before this move is used, this move has double power."
embargo,,100,17,"Target cannot use its held item for five turns.  If the target leaves the field, this effect ends.

If a Pok�mon under this effect uses bug bite or pluck on a Pok�mon holding a berry, the berry is destroyed but not used.  If a Pok�mon under this effect uses fling, it will fail.

This effect is passed by baton pass."
fling,,100,17,"Inflicts regular damage.  Power and type are determined by the user's held item.  The item is consumed.  If the user is not holding an item, or its item has no set type and power, this move will fail.

This move ignores sticky hold.

If the user is under the effect of embargo, this move will fail."
psycho-shift,,100,14,"If the user has a major status effect and the target does not, the user's status is transferred to the target."
trump-card,,,1,"Inflicts regular damage.  Power is determined by the PP remaining for this move, after its PP cost is deducted.  Ignores accuracy and evasion modifiers.

PP remaining | Power
------------ | ----:
4 or more    |    40
3            |    50
2            |    60
1            |    80
0            |   200

If this move is activated by another move, the activating move's PP is used to calculate power."
heal-block,,100,14,"For the next five turns, the target may not use any moves that only restore HP, and move effects that heal the target are disabled.  Moves that steal HP may still be used, but will only inflict damage and not heal the target."
wring-out,,100,1,"Inflicts regular damage.  Power directly relates to the target's relative remaining HP, given by `1 + 120 * current HP / max HP`, to a maximum of 121."
power-trick,,,14,"The user's original Attack and Defense are swapped.

This effect is passed on by baton pass."
gastro-acid,,100,4,"The target's ability is disabled as long as it remains on the field.

This effect is passed on by baton pass."
lucky-chant,,,1,"For five turns, opposing Pok�mon cannot score critical hits."
me-first,,,1,"If the target has selected a damaging move this turn, the user will copy that move and use it against the target, with a 50% increase in power.

If the target moves before the user, this move will fail.

This move cannot be copied by mirror move, nor selected by assist, metronome, or sleep talk."
copycat,,,1,"Uses the last move that was used successfully by any Pok�mon, including the user.

This move cannot copy itself, nor roar nor whirlwind.

This move cannot be copied by mirror move, nor selected by assist, metronome, or sleep talk."
power-swap,,,14,User swaps its Attack and Special Attack stat modifiers modifiers with the target.
guard-swap,,,14,User swaps its Defense and Special Defense modifiers with the target.
punishment,,100,17,"Inflicts regular damage.  Power starts at 60 and is increased by 20 for every stage any of the target's stats has been raised, capping at 200.  Accuracy and evasion modifiers do not increase this move's power."
last-resort,140,100,1,"Inflicts regular damage.  This move can only be used if each of the user's other moves has been used at least once since the user entered the field.  If this is the user's only move, this move will fail."
worry-seed,,100,12,"Changes the target's ability to insomnia.

If the target's ability is truant or multitype, this move will fail."
sucker-punch,70,100,17,"Inflicts regular damage.  If the target has not selected a damaging move this turn, or if the target has already acted this turn, this move will fail.

This move is not affected by iron fist."
toxic-spikes,,,4,"Scatters poisoned spikes around the opposing field, which poison opposing Pok�mon that enter the field.  A second layer of these spikes may be laid down, in which case Pok�mon will be badly poisoned instead.  Pok�mon immune to either ground moves or being poisoned are immune to this effect.  Pok�mon otherwise immune to ground moves are affected during gravity.

If a poison Pok�mon not immune to ground moves enters a field covered with poisoned spikes, the spikes are removed.

rapid spin will remove this effect from its user's side of the field.  defog will remove this effect from its target's side of the field.

This move does not trigger synchronize, unless the Pok�mon with synchronize was forced to enter the field by another effect such as roar.

Pok�mon entering the field due to baton pass are not affected by this effect."
heart-swap,,,14,User swaps its stat modifiers with the target.
aqua-ring,,,11,"Restores 1/16 of the user's max HP at the end of each turn.  If the user leaves the field, this effect ends.

This effect is passed on by baton pass."
magnet-rise,,,13,"For five turns, the user is immune to ground moves.

If the user is under the effect of ingrain or has levitate, this move will fail.

This effect is temporarily disabled by and cannot be used during gravity.

This effect is passed on by baton pass."
flare-blitz,120,100,10,"Inflicts regular damage.  User takes 1/3 the damage it inflicts in recoil.  Has a 10% chance to burn the target.  Frozen Pok�mon may use this move, in which case they will thaw."
force-palm,60,100,2,Inflicts regular damage.  Has a 30% chance to paralyze the target.
aura-sphere,80,,2,Inflicts regular damage.  Ignores accuracy and evasion modifiers.
rock-polish,,,6,Raises the user's Speed by two stages.
poison-jab,80,100,4,Inflicts regular damage.  Has a 30% chance to poison the target.
dark-pulse,80,100,17,Inflicts regular damage.  Has a 20% chance to make the target flinch.
night-slash,70,100,17,Inflicts regular damage.  User's critical hit rate is one level higher when using this move.
aqua-tail,90,90,11,Inflicts regular damage.
seed-bomb,80,100,12,Inflicts regular damage.
air-slash,75,95,3,Inflicts regular damage.  Has a 30% chance to make the target flinch.
x-scissor,80,100,7,Inflicts regular damage.
bug-buzz,90,100,7,Inflicts regular damage.  Has a 10% chance to lower the target's Special Defense by one stage.
dragon-pulse,85,100,16,Inflicts regular damage.
dragon-rush,100,75,16,Inflicts regular damage.  Has a 20% chance to make the target flinch.
power-gem,80,100,6,Inflicts regular damage.
drain-punch,75,100,2,Inflicts regular damage.  Drains half the damage inflicted to heal the user.
vacuum-wave,40,100,2,Inflicts regular damage.
focus-blast,120,70,2,Inflicts regular damage.  Has a 10% chance to lower the target's Special Defense by one stage.
energy-ball,90,100,12,Inflicts regular damage.  Has a 10% chance to lower the target's Special Defense by one stage.
brave-bird,120,100,3,Inflicts regular damage.  User takes 1/3 the damage it inflicts in recoil.
earth-power,90,100,5,Inflicts regular damage.  Has a 10% chance to lower the target's Special Defense by one stage.
switcheroo,,100,17,"User and target permanently swap held items.  Works even if one of the Pok�mon isn't holding anything.  If either Pok�mon is holding mail, this move will fail.

If either Pok�mon has multitype or sticky hold, this move will fail.

If this move results in a Pok�mon obtaining choice band, choice scarf, or choice specs, and that Pok�mon was the latter of the pair to move this turn, then the move it used this turn becomes its chosen forced move.  This applies even if both Pok�mon had a choice item before this move was used.  If the first of the two Pok�mon gains a choice item, it may select whatever choice move it wishes next turn.

Neither the user nor the target can recover its item with recycle.

This move cannot be selected by assist or metronome."
giga-impact,150,90,1,"Inflicts regular damage.  User loses its next turn to ""recharge"", and cannot attack or switch out during that turn."
nasty-plot,,,17,Raises the user's Special Attack by two stages.
bullet-punch,40,100,9,Inflicts regular damage.
avalanche,60,100,15,"Inflicts regular damage.  If the target damaged the user this turn and was the last to do so, this move has double power.

pain split does not count as damaging the user."
ice-shard,40,100,15,Inflicts regular damage.
shadow-claw,70,100,8,Inflicts regular damage.  User's critical hit rate is one level higher when using this move.
thunder-fang,65,95,13,Inflicts regular damage.  Has a 10% chance to paralyze the target and a separate 10% chance to make the target flinch.
ice-fang,65,95,15,Inflicts regular damage.  Has a 10% chance to freeze the target and a separate 10% chance to make the target flinch.
fire-fang,65,95,10,Inflicts regular damage.  Has a 10% chance to burn the target and a separate 10% chance to make the target flinch.
shadow-sneak,40,100,8,Inflicts regular damage.
mud-bomb,65,85,5,Inflicts regular damage.  Has a 30% chance to lower the target's accuracy by one stage.
psycho-cut,70,100,14,Inflicts regular damage.  User's critical hit rate is one level higher when using this move.
zen-headbutt,80,90,14,Inflicts regular damage.  Has a 20% chance to make the target flinch.
mirror-shot,65,85,9,Inflicts regular damage.  Has a 30% chance to lower the target's accuracy by one stage.
flash-cannon,80,100,9,Inflicts regular damage.  Has a 10% chance to lower the target's Special Defense by one stage.
rock-climb,90,85,1,Inflicts regular damage.  Has a 20% chance to confuse the target.
defog,,,3,"Lowers the target's evasion by one stage.  Clears away fog.  Removes the effects of mist, light screen, reflect, safeguard, spikes, stealth rock, and toxic spikes from the target's side of the field.

If the target is protected by mist, it will prevent the evasion change, then be removed by this move."
trick-room,,,14,"For five turns (including this one), slower Pok�mon will act before faster Pok�mon.  Move priority is not affected.  Using this move when its effect is already active will end the effect.

Pok�mon holding full incense, lagging tail, or quick claw and Pok�mon with stall ignore this effect."
draco-meteor,130,90,16,"Inflicts regular damage, then lowers the user's Special Attack by two stages."
discharge,80,100,13,Inflicts regular damage.  Has a 30% chance to paralyze the target.
lava-plume,80,100,10,Inflicts regular damage.  Has a 30% chance to burn the target.
leaf-storm,130,90,12,"Inflicts regular damage, then lowers the user's Special Attack by two stages."
power-whip,120,85,12,Inflicts regular damage.
rock-wrecker,150,90,6,"Inflicts regular damage.  User loses its next turn to ""recharge"", and cannot attack or switch out during that turn."
cross-poison,70,100,4,Inflicts regular damage.  User's critical hit rate is one level higher when using this move. Has a 10% chance to poison the target.
gunk-shot,120,80,4,Inflicts regular damage.  Has a 30% chance to poison the target.
iron-head,80,100,9,Inflicts regular damage.  Has a 30% chance to make the target flinch.
magnet-bomb,60,,9,Inflicts regular damage.  Ignores accuracy and evasion modifiers.
stone-edge,100,80,6,Inflicts regular damage.  User's critical hit rate is one level higher when using this move.
captivate,,100,1,"Lowers the target's Special Attack by two stages.  If the user and target are the same gender, or either is genderless, this move will fail."
stealth-rock,,,6,"Spreads sharp rocks around the opposing field, damaging any Pok�mon that enters the field for 1/8 its max HP.  This damage is affected by the entering Pok�mon's susceptibility to rock moves.

rapid spin removes this effect from its user's side of the field."
grass-knot,,100,12,"Inflicts regular damage.  Power increases with the target's weight in kilograms, to a maximum of 120.

Target's weight | Power
--------------- | ----:
Up to 10kg      |    20
Up to 25kg      |    40
Up to 50kg      |    60
Up to 100kg     |    80
Up to 200kg     |   100
Above 200kg     |   120
"
chatter,65,100,3,"Inflicts regular damage.  Has either a 1%, 11%, or 31% chance to confuse the target, based on the volume of the recording made for this move; louder recordings increase the chance of confusion.  If the user is not a chatot, this move will not cause confusion.

This move cannot be copied by mimic, mirror move, or sketch, nor selected by assist, metronome, or sleep talk."
judgment,100,100,1,"Inflicts regular damage.  If the user is holding a plate or a drive, this move's type is the type corresponding to that item.

Note: This effect is technically shared by both techno blast and judgment; however, Techno Blast is only affected by drives, and Judgment is only affected by plates."
bug-bite,60,100,7,"Inflicts regular damage.  If the target is holding a berry, this move has double power, and the user takes the berry and uses it immediately.

If the target is holding a jaboca berry or rowap berry, the berry is still removed, but has no effect.

If this move is super effective and the target is holding a berry that can reduce this move's damage, it will do so, and will not be stolen."
charge-beam,50,90,13,Inflicts regular damage.  Has a 70% chance to raise the user's Special Attack by one stage.
wood-hammer,120,100,12,Inflicts regular damage.  User takes 1/3 the damage it inflicts in recoil.
aqua-jet,40,100,11,Inflicts regular damage.
attack-order,90,100,7,Inflicts regular damage.  User's critical hit rate is one level higher when using this move.
defend-order,,,7,Raises the user's Defense and Special Defense by one stage.
heal-order,,,7,Heals the user for half its max HP.
head-smash,150,80,6,Inflicts regular damage.  User takes 1/2 the damage it inflicts in recoil.
double-hit,35,90,1,Inflicts regular damage.  Hits twice in one turn.
roar-of-time,150,90,16,"Inflicts regular damage.  User loses its next turn to ""recharge"", and cannot attack or switch out during that turn."
spacial-rend,100,95,16,Inflicts regular damage.  User's critical hit rate is one level higher when using this move.
lunar-dance,,,14,"User faints.  Its replacement's HP and PP are fully restored, and any major status effect is removed."
crush-grip,,100,1,"Inflicts regular damage.  Power directly relates to the target's relative remaining HP, given by `1 + 120 * current HP / max HP`, to a maximum of 121."
magma-storm,100,75,10,"Inflicts regular damage.  For the next 2�5 turns, the target cannot leave the field and is damaged for 1/16 its max HP at the end of each turn.  The user continues to use other moves during this time.  If the user leaves the field, this effect ends.

Has a 3/8 chance each to hit 2 or 3 times, and a 1/8 chance each to hit 4 or 5 times.  Averages to 3 hits per use.

rapid spin cancels this effect."
dark-void,,50,17,Puts the target to sleep.
seed-flare,120,85,12,Inflicts regular damage.  Has a 40% chance to lower the target's Special Defense by two stages.
ominous-wind,60,100,8,Inflicts regular damage. Has a 10% chance to raise all of the user's stats one stage.
shadow-force,120,100,8,"Inflicts regular damage.  User vanishes for one turn, becoming immune to attack, and hits on the second turn.

This move ignores the effects of detect and protect.

This move cannot be selected by sleep talk."
hone-claws,,,17,Raises the user's Attack and accuracy by one stage.
wide-guard,,,6,"Moves with multiple targets will not hit friendly Pok�mon for the remainder of this turn.  If the user is last to act this turn, this move will fail.

This move cannot be selected by assist or metronome."
guard-split,,,14,Averages the user's unmodified Defense with the target's unmodified Defense; the value becomes the unmodified Defense for both Pok�mon. Unmodified Special Defense is averaged the same way.
power-split,,,14,"Averages the user's unmodified Attack with the target's unmodified Attack; the value becomes the unmodified Attack for both Pok�mon. Unmodified Special Attack is averaged the same way.

This effect applies before any other persistent changes to unmodified Attack or Special Attack, such as flower gift during sunny day."
wonder-room,,,14,"For five turns (including this one), every Pok�mon's Defense and Special Defense are swapped."
psyshock,80,100,14,"Inflicts regular damage.  Damage calculation always uses the target's Defense, regardless of this move's damage class."
venoshock,65,100,4,"Inflicts regular damage.  If the target is poisoned, this move has double power."
autotomize,,,9,Raises the user's Speed by two stages.  Halves the user's weight; this effect does not stack.
rage-powder,,,7,"Until the end of this turn, any moves that opposing Pok�mon target solely at the user's ally will instead target the user.  If both Pok�mon on the same side of the field use this move on the same turn, the Pok�mon that uses it last will become the target.

This effect takes priority over lightning rod and storm drain.

If the user's ally switches out, opposing Pok�mon may still hit it with pursuit.

This move cannot be selected by assist or metronome."
telekinesis,,,14,"For three turns (including this one), moves used against the target have 100% accuracy, but the target is immune to ground damage.  Accuracy of one-hit KO moves is exempt from this effect.

This effect is removed by gravity.  If Gravity is already in effect, this move will fail."
magic-room,,,14,"For five turns (including this one), passive effects of held items are ignored, and Pok�mon will not use their held items."
smack-down,50,100,6,"Inflicts regular damage.  Removes the target's immunity to ground-type damage.  This effect removes any existing Ground immunity due to levitate, magnet rise, or telekinesis, and causes the target's flying type to be ignored when it takes Ground damage.

If the target isn't immune to Ground damage, this move will fail.

This move can hit Pok�mon under the effect of bounce, fly, or sky drop, and ends the effect of Bounce or Fly."
storm-throw,60,100,2,Inflicts regular damage.  Always scores a critical hit.
flame-burst,70,100,10,"Inflicts regular damage.  If this move successfully hits the target, any Pok�mon adjacent to the target are damaged for 1/16 their max HP."
sludge-wave,95,100,4,Inflicts regular damage.  Has a 10% chance to poison the target.
quiver-dance,,,7,"Raises the user's Special Attack, Special Defense, and Speed by one stage each."
heavy-slam,,100,9,"Inflicts regular damage.  The greater the user's weight compared to the target's, the higher power this move has, to a maximum of 120.

User's weight                    | Power
-------------------------------- | ----:
Up to 2� the target's weight     |    40
Up to 3� the target's weight     |    60
Up to 4� the target's weight     |    80
Up to 5� the target's weight     |   100
More than 5� the target's weight |   120
"
synchronoise,120,100,14,Inflicts regular damage.  Only Pok�mon that share a type with the user will take damage from this move.
electro-ball,,100,13,"Inflicts regular damage.  The greater the user's Speed compared to the target's, the higher power this move has, to a maximum of 150.

User's Speed                     | Power
-------------------------------- | ----:
Up to 2� the target's Speed      |    60
Up to 3� the target's Speed      |    80
Up to 4� the target's Speed      |   120
More than 4� the target's Speed  |   150
"
soak,,100,11,"Changes the target to pure water-type until it leaves the field.  If the target has multitype, this move will fail."
flame-charge,50,100,10,Inflicts regular damage.  Raises the user's Speed by one stage.
coil,,,4,"Raises the user's Attack, Defense, and accuracy by one stage each."
low-sweep,65,100,2,Lowers the target's Speed by one stage.
acid-spray,40,100,4,Inflicts regular damage.  Lowers the target's Special Defense by two stages.
foul-play,95,100,17,Inflicts regular damage.  Damage is calculated using the target's attacking stat rather than the user's.
simple-beam,,100,1,Changes the target's ability to simple.
entrainment,,100,1,Changes the target's ability to match the user's.  This effect ends when the target leaves battle.
after-you,,,1,"The target will act next this turn, regardless of Speed or move priority.
If the target has already acted this turn, this move will fail."
round,60,100,1,"Inflicts regular damage.  If round has already been used this turn, this move's power is doubled.  After this move is used, any other Pok�mon using it this turn will immediately do so (in the order they would otherwise act), regardless of Speed or priority.  Pok�mon using other moves will then continue to act as usual."
echoed-voice,40,100,1,"Inflicts regular damage.  If any friendly Pok�mon used this move earlier this turn or on the previous turn, that use's power is added to this move's power, to a maximum of 200."
chip-away,70,100,1,"Inflicts regular damage.  Damage calculation ignores the target's stat modifiers, including evasion."
clear-smog,50,,4,Inflicts regular damage.  All of the target's stat modifiers are reset to zero.
stored-power,20,100,14,"Inflicts regular damage.  Power is increased by 100% its original value for every stage any of the user's stats have been raised.  Accuracy, evasion, and lowered stats do not affect this move's power.  For a Pok�mon with all five stats modified to +6, this move's power is 31�."
quick-guard,,,2,"Moves with priority greater than 0 will not hit friendly Pok�mon for the remainder of this turn.  If the user is last to act this turn, this move will fail.

This move cannot be selected by assist or metronome."
ally-switch,,,14,"User switches position on the field with the friendly Pok�mon opposite it.  If the user is in the middle position in a triple battle, or there are no other friendly Pok�mon, this move will fail."
scald,80,100,11,Inflicts regular damage.  Has a 30% chance to burn the target.
shell-smash,,,1,"Raises the user's Attack, Special Attack, and Speed by two stages each.  Lowers the user's Defense and Special Defense by one stage each."
heal-pulse,,,14,Heals the target for half its max HP.
hex,65,100,8,"Inflicts regular damage.  If the target has a major status ailment, this move has double power."
sky-drop,60,100,3,"Inflicts regular damage.  User carries the target high into the air for one turn, during which no moves will hit either Pok�mon and neither can act.  On the following turn, the user drops the target, inflicting damage and ending the effect.

If the target is flying-type, this move will function as normal but inflict no damage.

gust, hurricane, sky uppercut, smack down, thunder, twister, and whirlwind can hit both the user and the target during this effect.  gust and twister will additionally have double power.

The damage from hail and sandstorm still applies during this effect.

Either Pok�mon may be hit during this effect if also under the effect of lock on, mind reader, or no guard.

This move cannot be used while gravity is in effect.

This move cannot be selected by sleep talk.

*Bug*: If gravity is used during a double or triple battle while this move is in effect, this move is not correctly canceled on the target, and it remains high in the air indefinitely.  As this move prevents the target from acting, the only way to subsequently remove it from the field is to faint it."
shift-gear,,,9,Raises the user's Attack by one stage and its Speed by two stages.
circle-throw,60,90,2,"Inflicts regular damage, then switches the target out for another of its trainer's Pok�mon, selected at random.

If the target is under the effect of ingrain or suction cups, or it has a substitute, or its Trainer has no more usable Pok�mon, it will not be switched out.  If the target is a wild Pok�mon, the battle ends instead."
incinerate,60,100,10,"Inflicts regular damage.  If the target is holding a berry, it's destroyed and cannot be used in response to this move."
quash,,100,17,"Forces the target to act last this turn, regardless of Speed or move priority.  If the target has already acted this turn, this move will fail."
acrobatics,55,100,3,"Inflicts regular damage.  If the user has no held item, this move has double power."
reflect-type,,,1,User's type changes to match the target's.
retaliate,70,100,1,"Inflicts regular damage.  If a friendly Pok�mon fainted on the previous turn, this move has double power."
final-gambit,,100,2,Inflicts damage equal to the user's remaining HP.  User faints.
bestow,,,1,"Transfers the user's held item to the target.  If the user has no held item, or the target already has a held item, this move will fail."
inferno,100,50,10,Inflicts regular damage.  Has a 100% chance to burn the target.
water-pledge,80,100,11,"Inflicts regular damage.  If a friendly Pok�mon used grass pledge earlier this turn, all opposing Pok�mon have halved Speed for four turns (including this one)."
fire-pledge,80,100,10,"Inflicts regular damage.  If a friendly Pok�mon used water pledge earlier this turn, moves used by any friendly Pok�mon have doubled effect chance for four turns (including this one)."
grass-pledge,80,100,12,"Inflicts regular damage.  If a friendly Pok�mon used fire pledge earlier this turn, all opposing Pok�mon will take 1/8 their max HP in damage at the end of every turn for four turns (including this one)."
volt-switch,70,100,13,"Inflicts regular damage, then the user immediately switches out, and the trainer selects a replacement Pok�mon from the party.  If the target faints from this attack, the user's trainer selects the new Pok�mon to send out first.  If the user is the last Pok�mon in its party that can battle, it will not switch out.

The user may be hit by pursuit when it switches out, if it has been targeted and pursuit has not yet been used.

This move may be used even if the user is under the effect of ingrain.  ingrain's effect will end."
struggle-bug,50,100,7,Inflicts regular damage.  Has a 100% chance to lower the target's Special Attack by one stage.
bulldoze,60,100,5,Inflicts regular damage.  Has a 100% chance to lower the target's Speed by one stage.
frost-breath,60,90,15,Inflicts regular damage.  Always scores a critical hit.
dragon-tail,60,90,16,"Inflicts regular damage, then switches the target out for another of its trainer's Pok�mon, selected at random.

If the target is under the effect of ingrain or suction cups, or it has a substitute, or its Trainer has no more usable Pok�mon, it will not be switched out.  If the target is a wild Pok�mon, the battle ends instead."
work-up,,,1,Raises the user's Attack and Special Attack by one stage each.
electroweb,55,95,13,Lowers the target's Speed by one stage.
wild-charge,90,100,13,Inflicts regular damage.  User takes 1/4 the damage it inflicts in recoil.
drill-run,80,95,5,Inflicts regular damage.  User's critical hit rate is one level higher when using this move.
dual-chop,40,90,16,Inflicts regular damage.  Hits twice in one turn.
heart-stamp,60,100,14,Inflicts regular damage.  Has a 30% chance to make the target flinch.
horn-leech,75,100,12,Inflicts regular damage.  Drains half the damage inflicted to heal the user.
sacred-sword,90,100,2,"Inflicts regular damage.  Damage calculation ignores the target's stat modifiers, including evasion."
razor-shell,75,95,11,Inflicts regular damage.  Has a 50% chance to lower the target's Defense by one stage.
heat-crash,,100,10,"Inflicts regular damage.  The greater the user's weight compared to the target's, the higher power this move has, to a maximum of 120.

User's weight                    | Power
-------------------------------- | ----:
Up to 2� the target's weight     |    40
Up to 3� the target's weight     |    60
Up to 4� the target's weight     |    80
Up to 5� the target's weight     |   100
More than 5� the target's weight |   120
"
leaf-tornado,65,90,12,Inflicts regular damage.  Has a 50% chance to lower the target's accuracy by one stage.
steamroller,65,100,7,"Inflicts regular damage.  Has a 30% chance to make the target flinch.

Power is doubled against Pok�mon that have used minimize since entering the field."
cotton-guard,,,12,Raises the user's Defense by three stages.
night-daze,85,95,17,Inflicts regular damage.  Has a 40% chance to lower the target's accuracy by one stage.
psystrike,100,100,14,"Inflicts regular damage.  Damage calculation always uses the target's Defense, regardless of this move's damage class."
tail-slap,25,85,1,"Inflicts regular damage.  Hits 2�5 times in one turn.

Has a 3/8 chance each to hit 2 or 3 times, and a 1/8 chance each to hit 4 or 5 times.  Averages to 3 hits per use."
hurricane,110,70,3,"Inflicts regular damage.  Has a 30% chance to confuse the target.

This move can hit Pok�mon under the effect of bounce, fly, or sky drop.

During rain dance, this move has 100% accuracy.  During sunny day, this move has 50% accuracy."
head-charge,120,100,1,Inflicts regular damage.  User takes 1/4 the damage it inflicts in recoil.
gear-grind,50,85,9,Inflicts regular damage.  Hits twice in one turn.
searing-shot,100,100,10,Inflicts regular damage.  Has a 30% chance to burn the target.
techno-blast,120,100,1,"Inflicts regular damage.  If the user is holding a plate or a drive, this move's type is the type corresponding to that item.

Note: This effect is technically shared by both techno blast and judgment; however, Techno Blast is only affected by drives, and Judgment is only affected by plates."
relic-song,75,100,1,"Inflicts regular damage.  Has a 10% chance to put the target to sleep.
If the user is a meloetta, it will toggle between Aria and Pirouette Forme."
secret-sword,85,100,2,"Inflicts regular damage.  Damage calculation always uses the target's Defense, regardless of this move's damage class."
glaciate,65,95,15,Inflicts regular damage.  Lowers the target's Speed by one stage.
bolt-strike,130,85,13,Inflicts regular damage.  Has a 20% chance to paralyze the target.
blue-flare,130,85,10,Inflicts regular damage.  Has a 20% chance to burn the target.
fiery-dance,80,100,10,Inflicts regular damage.  Has a 50% chance to raise the user's Special Attack by one stage.
freeze-shock,140,90,15,Inflicts regular damage.  Has a 30% chance to paralyze the target.  User charges for one turn before attacking.
ice-burn,140,90,15,Inflicts regular damage.  Has a 30% chance to burn the target.  User charges for one turn before attacking.
snarl,55,95,17,Inflicts regular damage.  Has a 100% chance to lower the target's Special Attack by one stage.
icicle-crash,85,90,15,Inflicts regular damage.  Has a 30% chance to make the target flinch.
v-create,180,95,10,"Inflicts regular damage.  Lowers the user's Defense, Special Defense, and Speed by one stage each."
fusion-flare,100,100,10,"Inflicts regular damage.  If a friendly Pok�mon used fusion bolt earlier this turn, this move has double power."
